Name,Hits,Years,Salary,LogSalary
Harold Reynolds,99,4,87500,4.94200805302231
Harry Spilman,39,9,175000,5.24303804868629
Herm Winningham,40,3,90000,4.95424250943933
Jesse Barfield,170,6,1237500,6.09254520760561
Juan Beniquez,103,15,430000,5.63346845557959
John Cangelosi,103,2,100000,5
Jose Canseco,144,2,165000,5.21748394421391
Joe Carter,200,4,250000,5.39794000867204
Jack Clark,55,12,1300000,6.11394335230684
Jose Cruz,133,17,773333,5.8883665429753
Jody Davis,132,6,1008333,6.00360398070038
Jim Dwyer,39,14,275000,5.43933269383026
Julio Franco,183,5,775000,5.88930170250631
Jim Gantner,136,11,850000,5.92941892571429
Johnny Grubb,70,15,365000,5.56229286445647
Jack Howell,41,2,95000,4.97772360528885
John Kruk,86,1,110000,5.04139268515823
Jeffrey Leonard,95,10,100000,5
Jim Morrison,147,10,277500,5.4432629874587
John Moses,102,5,80000,4.90308998699194
Jerry Mumphrey,94,13,600000,5.77815125038364
Jim Presley,163,3,200000,5.30102999566398
Johnny Ray,174,6,657000,5.81756536955978
Jeff Reed,39,3,75000,4.8750612633917
Jim Rice,200,13,2412500,6.38246732201583
Jerry Royster,66,14,250000,5.39794000867204
John Russell,76,3,155000,5.19033169817029
Juan Samuel,157,4,640000,5.80617997398389
John Shelby,92,6,300000,5.47712125471966
Joel Skinner,73,4,110000,5.04139268515823
Jim Sundberg,91,13,825000,5.91645394854993
Jose Uribe,101,3,195000,5.29003461136252
Joel Youngblood,47,11,450000,5.65321251377534
Kevin Bass,184,5,630000,5.79934054945358
Kal Daniels,58,1,86500,4.93701610746481
Kirk Gibson,118,8,1300000,6.11394335230684
Ken Griffey,150,14,1000000,6
Keith Hernandez,171,13,1800000,6.25527250510331
Kent Hrbek,147,6,1310000,6.11727129565576
Ken Landreaux,74,10,737500,5.8677620246502
Kevin McReynolds,161,4,625000,5.79588001734407
Kevin Mitchell,91,2,125000,5.09691001300806
Keith Moreland,159,9,1043333,6.01842294407453
Ken Oberkfell,136,10,725000,5.86033800657099
Ken Phelps,85,7,300000,5.47712125471966
Kirby Puckett,223,3,365000,5.56229286445647
Kurt Stillwell,64,1,75000,4.8750612633917
Leon Durham,127,7,1183333,6.07310697599894
Len Dykstra,127,2,202500,5.30642502755069
Larry Herndon,70,12,225000,5.35218251811136
Lee Lacy,141,15,525000,5.72015930340596
Len Matuszek,52,6,265000,5.42324587393681
Lloyd Moseby,149,7,787500,5.89625056246164
Lance Parrish,84,10,800000,5.90308998699194
Larry Parrish,128,13,587500,5.76900787094377
Larry Sheets,92,3,145000,5.16136800223498
Lou Whitaker,157,10,420000,5.6232492903979
Mike Aldrete,54,1,75000,4.8750612633917
Marty Barrett,179,5,575000,5.75966784468963
Mike Davis,131,7,780000,5.89209460269048
Mike Diaz,56,2,90000,4.95424250943933
Mariano Duncan,93,2,150000,5.17609125905568
Mike Easler,148,13,700000,5.84509804001426
Mel Hall,131,6,550000,5.74036268949424
Mike Heath,65,9,650000,5.81291335664286
Mike Kingery,54,1,68000,4.83250891270624
Mike LaValliere,71,3,100000,5
Mike Marshall,77,6,670000,5.82607480270083
Mike Pagliarulo,120,3,175000,5.24303804868629
Mark Salas,60,3,137000,5.13672056715641
Mike Schmidt,1,2,2127333,6.32783547708792
Mike Scioscia,94,7,875000,5.94200805302231
Mickey Tettleton,43,3,120000,5.07918124604763
Milt Thompson,75,3,140000,5.14612803567824
Mitch Webster,167,4,210000,5.32221929473392
Mookie Wilson,110,7,800000,5.90308998699194
Marvell Wynne,76,4,240000,5.38021124171161
Mike Young,93,5,350000,5.54406804435028
Ozzie Guillen,137,2,175000,5.24303804868629
Oddibe McDowell,152,2,200000,5.30102999566398
Ozzie Smith,144,9,1940000,6.28780172993023
Ozzie Virgil,80,7,700000,5.84509804001426
Phil Bradley,163,4,750000,5.8750612633917
Phil Garner,83,14,450000,5.65321251377534
Pete Incaviglia,135,1,172000,5.23552844690755
Paul Molitor,123,9,1260000,6.10037054511756
Pete Rose,52,24,750000,5.8750612633917
Pat Sheridan,56,5,190000,5.27875360095283
Pat Tabler,154,6,580000,5.76342799356294
Rafael Belliard,72,5,130000,5.11394335230684
Rick Burleson,77,12,450000,5.65321251377534
Randy Bush,96,5,300000,5.47712125471966
Rick Cerone,56,12,250000,5.39794000867204
Ron Cey,70,16,1050000,6.02118929906994
Rob Deer,108,3,215000,5.3324384599156
Rick Dempsey,68,18,400000,5.60205999132796
Ron Hassey,110,9,560000,5.7481880270062
Rickey Henderson,160,8,1670000,6.22271647114758
Reggie Jackson,101,20,487500,5.68797462003456
Ron Kittle,82,5,425000,5.62838893005031
Ray Knight,145,11,500000,5.69897000433602
Rick Leach,76,6,250000,5.39794000867204
Rick Manning,52,12,400000,5.60205999132796
Rance Mulliniks,90,10,450000,5.65321251377534
Ron Oester,135,9,750000,5.8750612633917
Rey Quinones,68,1,70000,4.84509804001426
Rafael Ramirez,119,7,875000,5.94200805302231
Ronn Reynolds,27,4,190000,5.27875360095283
Ron Roenicke,68,6,191000,5.28103336724773
Ryne Sandberg,178,6,740000,5.86923171973098
Rafael Santana,86,4,250000,5.39794000867204
Rick Schu,57,3,140000,5.14612803567824
Ruben Sierra,101,1,97500,4.98900461569854
Roy Smalley,113,12,740000,5.86923171973098
Robby Thompson,149,1,140000,5.14612803567824
Rob Wilfong,63,10,341667,5.53360303437384
Robin Yount,163,13,1000000,6
Steve Balboni,117,6,100000,5
Scott Bradley,66,3,90000,4.95424250943933
Sid Bream,140,4,200000,5.30102999566398
Steve Buechele,112,2,135000,5.13033376849501
Shawon Dunston,145,2,155000,5.19033169817029
Scott Fletcher,159,6,475000,5.67669360962487
Steve Garvey,142,18,1450000,6.16136800223498
Steve Jeltz,96,4,150000,5.17609125905568
Steve Lombardozzi,103,2,105000,5.02118929906994
Spike Owen,122,4,350000,5.54406804435028
Steve Sax,210,6,90000,4.95424250943933
Tony Bernazard,169,8,530000,5.72427586960079
Tom Brookens,76,8,341667,5.53360303437384
Tom Brunansky,152,6,940000,5.9731278535997
Tony Fernandez,213,4,350000,5.54406804435028
Tim Flannery,103,8,326667,5.51410526413024
Tom Foley,70,4,250000,5.39794000867204
Tony Gwynn,211,5,740000,5.86923171973098
Terry Harper,68,7,425000,5.62838893005031
Tommy Herr,141,8,925000,5.96614173273903
Tim Hulett,120,4,185000,5.26717172840301
Terry Kennedy,4,1,920000,5.96378782734556
Tito Landrum,43,7,286667,5.4573777015172
Tim Laudner,47,6,245000,5.38916608436453
Tom Paciorek,61,17,235000,5.37106786227174
Tony Pena,147,7,1150000,6.06069784035361
Terry Pendleton,138,3,160000,5.20411998265593
Tony Phillips,113,5,425000,5.62838893005031
Terry Puhl,42,10,900000,5.95424250943933
Ted Simmons,32,19,500000,5.69897000433602
Tim Teufel,69,4,277500,5.4432629874587
Tim Wallach,112,7,750000,5.8750612633917
Vince Coleman,139,2,160000,5.20411998265593
Von Hayes,186,6,1300000,6.11394335230684
Vance Law,81,7,525000,5.72015930340596
Wally Backman,124,7,550000,5.74036268949424
Wade Boggs,207,5,1600000,6.20411998265593
Will Clark,117,1,120000,5.07918124604763
Wally Joyner,172,1,165000,5.21748394421391
Willie McGee,127,5,700000,5.84509804001426
Willie Randolph,136,12,875000,5.94200805302231
Wayne Tolleson,126,6,385000,5.5854607295085
Willie Upshaw,144,8,960000,5.98227123303957
Willie Wilson,170,11,1000000,6
